"index_key";"uv_index";"heat_index";"humidity";"pressure";"windspeed"
"BEN1";1;19;83;1016;21
"BEN2";1;28;66;1007;20
"BEN3";1;23;79;1012;21
"BEN4";1;20;91;1012;9
"BOM1";7;28;42;1018;11
"BOM2";8;34;63;1011;7
"BOM3";6;26;76;1004;9
"BOM4";6;32;82;1011;14
"DEL1";1;20;30;1020;6
"DEL2";1;29;16;1006;11
"DEL3";1;40;24;992;19
"DEL4";1;30;70;1006;11
"HYD1";1;20;83;1016;15
"HYD2";1;34;38;1003;21
"HYD3";1;26;82;1007;26
"HYD4";1;25;84;1011;11
"JAI1";1;19;37;1016;12
"JAI2";1;36;15;1001;8
"JAI3";1;35;68;1000;8
"JAI4";1;18;50;1016;14
"KAN1";1;17;46;1020;7
"KAN2";1;28;12;1004;15
"KAN3";1;40;26;992;15
"KAN4";1;27;89;1007;7
"NAG1";1;22;30;1013;13
"NAG2";1;40;16;1000;11
"NAG3";1;29;89;1000;12
"NAG4";1;23;58;1014;6
"PUN1";1;23;44;1014;6
"PUN2";1;27;36;1007;19
"PUN3";1;24;90;1007;17
"PUN4";1;25;87;1010;8
